City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
Sikasso,10.9167,-7.0,75.0,broken clouds,83,77,4.27,ML,1626404393
Calipan,18.2958,-97.1667,65.95,broken clouds,90,64,4.07,MX,1626404395
Dikson,73.5069,80.5464,34.65,overcast clouds,96,100,13.15,RU,1626404396
Norwich,52.6278,1.2983,57.47,overcast clouds,89,90,4.61,GB,1626404235
Ushtobe,45.2514,77.9838,68.09,overcast clouds,63,100,16.08,KZ,1626404398
Half Moon Bay,37.4636,-122.4286,68.07,clear sky,82,1,11.5,US,1626404400
Dunedin,-45.8742,170.5036,48.79,light rain,83,87,10.0,NZ,1626404403
Kaitangata,-46.2817,169.8464,52.93,few clouds,78,18,2.57,NZ,1626404405
Qui Nhon,13.7667,109.2333,83.14,overcast clouds,69,100,8.37,VN,1626404346
Albany,42.6001,-73.9662,75.81,broken clouds,89,51,4.23,US,1626404407
Kodiak,57.79,-152.4072,63.09,scattered clouds,70,30,1.03,US,1626404409
Port Keats,-14.25,129.55,88.05,overcast clouds,27,100,8.03,AU,1626404411
New Norfolk,-42.7826,147.0587,52.92,broken clouds,93,83,4.12,AU,1626404412
Saint George,37.1041,-113.5841,93.94,clear sky,35,0,1.01,US,1626404409
Port Alfred,-33.5906,26.891,53.29,clear sky,43,0,6.22,ZA,1626404415
Quatre Cocos,-20.2078,57.7625,69.1,light rain,72,77,17.58,MU,1626404417
Hobart,-42.8794,147.3294,53.26,broken clouds,89,75,0.0,AU,1626404314
Mataura,-46.1927,168.8643,55.47,clear sky,82,3,3.89,NZ,1626404419
Gat,31.61,34.7642,79.39,clear sky,86,0,2.53,IL,1626404421
Hurghada,27.2574,33.8129,84.51,clear sky,40,4,9.57,EG,1626404417
Avarua,-21.2078,-159.775,78.85,broken clouds,78,75,9.22,CK,1626404423
Kapaa,22.0752,-159.319,84.18,scattered clouds,79,42,4.0,US,1626404425
Oliveira Dos Brejinhos,-12.3169,-42.8961,68.43,overcast clouds,55,85,4.68,BR,1626404426
Whitehorse,60.7161,-135.0538,65.01,broken clouds,36,82,8.99,CA,1626404428
Conde,-7.2597,-34.9075,70.66,clear sky,93,10,8.1,BR,1626404429
Yerbogachen,61.2767,108.0108,75.52,clear sky,49,0,0.85,RU,1626404430
Kahului,20.8947,-156.47,82.98,few clouds,74,21,4.0,US,1626404432
Mehamn,71.0357,27.8492,52.16,overcast clouds,81,100,5.5,NO,1626404433
Paracatu,-17.2222,-46.8747,62.51,clear sky,51,0,1.19,BR,1626404434
Cape Town,-33.9258,18.4232,50.11,clear sky,61,0,2.48,ZA,1626404436
Ushuaia,-54.8,-68.3,33.46,light snow,93,90,26.46,AR,1626404388
Barrow,71.2906,-156.7887,48.22,overcast clouds,76,90,13.8,US,1626404438
Alofi,-19.0595,-169.9187,76.5,clear sky,85,2,22.57,NU,1626404439
Hermanus,-34.4187,19.2345,49.89,clear sky,57,0,4.61,ZA,1626404441
Punta Arenas,-53.15,-70.9167,37.11,light rain,93,100,5.7,CL,1626404442
Genhe,50.7833,121.5167,80.38,clear sky,42,0,9.69,CN,1626404444
Airai,-8.9266,125.4092,75.0,broken clouds,40,58,4.54,TL,1626404445
Tiksi,71.6872,128.8694,52.52,overcast clouds,61,100,25.26,RU,1626404446
Rikitea,-23.1203,-134.9692,73.13,few clouds,73,20,9.46,PF,1626404448
Ayan,56.45,138.1667,58.93,overcast clouds,85,100,0.92,RU,1626404449
Lebu,-37.6167,-73.65,49.98,broken clouds,78,83,3.06,CL,1626404451
Sabang,5.8933,95.3214,81.57,overcast clouds,75,100,7.99,ID,1626404452
Coihaique,-45.5752,-72.0662,37.08,light rain,99,86,5.32,CL,1626404453
Borshchiv,48.8033,26.0435,70.14,broken clouds,78,67,3.27,UA,1626404455
Dingle,10.9995,122.6711,78.37,overcast clouds,88,100,5.97,PH,1626404456
Bethel,41.3712,-73.414,77.0,scattered clouds,87,45,3.78,US,1626404457
Nanyamba,-10.6833,39.8333,61.29,clear sky,92,5,5.61,TZ,1626404459
Hilo,19.7297,-155.09,90.28,clear sky,90,2,3.0,US,1626404460
Del Rio,29.3627,-100.8968,86.23,scattered clouds,52,28,5.01,US,1626404461
Bredasdorp,-34.5322,20.0403,46.06,clear sky,68,0,3.96,ZA,1626404463
Windhoek,-22.5594,17.0832,45.1,clear sky,21,0,5.79,NA,1626404464
El Puerto De Santa Maria,36.5939,-6.233,72.25,clear sky,63,0,6.91,ES,1626404465
Ystad,55.4297,13.8204,70.99,scattered clouds,87,42,4.99,SE,1626404467
Bambous Virieux,-20.3428,57.7575,69.22,light rain,73,84,17.85,MU,1626404468
Talnakh,69.4865,88.3972,60.31,overcast clouds,57,100,11.25,RU,1626404469
Butaritari,3.0707,172.7902,82.62,moderate rain,80,100,13.6,KI,1626404471
Piet Retief,-27.0071,30.8132,35.44,clear sky,96,3,3.53,ZA,1626404472
Rumphi,-11.0186,33.8575,55.2,scattered clouds,93,34,4.12,MW,1626404473
Montepuez,-13.1256,38.9997,61.47,clear sky,85,3,10.02,MZ,1626404474
Luohe,33.5717,114.0353,87.03,moderate rain,68,74,5.73,CN,1626404476
Provideniya,64.3833,-173.3,50.11,fog,81,90,15.66,RU,1626404477
Abu Samrah,35.3029,37.1841,76.01,clear sky,55,0,7.31,SY,1626404478
Pisco,-13.7,-76.2167,59.02,clear sky,88,0,3.04,PE,1626404480
Khasan,42.4308,130.6434,74.44,overcast clouds,94,97,5.03,RU,1626404481
Sur,22.5667,59.5289,84.0,overcast clouds,82,100,15.35,OM,1626404482
Straumen,63.8709,11.2999,57.51,broken clouds,89,55,7.78,NO,1626404483
Emporia,38.4039,-96.1817,69.51,broken clouds,98,75,5.73,US,1626404485
Saskylakh,71.9167,114.0833,52.29,light rain,77,100,8.59,RU,1626404486
Cravo Norte,6.3017,-70.2041,75.27,broken clouds,91,51,2.8,CO,1626404487
New York,40.7143,-74.006,82.94,broken clouds,79,54,1.01,US,1626404298
Severo-Kurilsk,50.6789,156.125,56.89,scattered clouds,77,43,17.52,RU,1626404490
Atuona,-9.8,-139.0333,78.17,few clouds,66,16,27.96,PF,1626404491
Garden City,42.3256,-83.331,75.45,clear sky,73,1,5.75,US,1626404493
Bluff,-46.6,168.3333,55.8,few clouds,84,14,4.79,NZ,1626404494
Cidreira,-30.1811,-50.2056,55.99,broken clouds,90,54,8.95,BR,1626404495
Stulovo,58.7225,50.1439,60.76,moderate rain,95,100,3.24,RU,1626404496
Kalmunai,7.4167,81.8167,83.93,broken clouds,71,74,2.21,LK,1626404498
Dedovichi,57.5517,29.9502,68.67,scattered clouds,78,33,4.16,RU,1626404499
Marsa Matruh,31.3525,27.2453,76.39,clear sky,75,0,10.18,EG,1626404500
Soyo,-6.1349,12.3689,70.81,scattered clouds,90,25,3.87,AO,1626404502
Busselton,-33.65,115.3333,60.04,overcast clouds,67,100,10.36,AU,1626404503
Salinas,36.6777,-121.6555,70.23,clear sky,79,6,6.13,US,1626404462
Griffith,41.5284,-87.4237,73.22,overcast clouds,87,90,1.01,US,1626404505
Husavik,66.0449,-17.3389,51.71,scattered clouds,86,38,2.71,IS,1626404234
Hithadhoo,-0.6,73.0833,83.75,broken clouds,72,76,13.29,MV,1626404508
Tasiilaq,65.6145,-37.6368,39.36,scattered clouds,81,29,9.78,GL,1626404509
Fairbanks,64.8378,-147.7164,80.02,scattered clouds,36,48,1.01,US,1626404410
Hasaki,35.7333,140.8333,88.29,overcast clouds,78,100,7.81,JP,1626404511
Saint-Philippe,-21.3585,55.7679,67.55,light rain,86,70,14.83,RE,1626404513
Mold,53.1667,-3.1414,58.8,clear sky,88,0,2.95,GB,1626404514
Fortuna,40.5982,-124.1573,64.42,overcast clouds,88,90,4.0,US,1626404515
Chokurdakh,70.6333,147.9167,63.82,overcast clouds,33,89,16.71,RU,1626404517
Wagar,16.1525,36.2032,78.4,overcast clouds,71,92,15.26,SD,1626404518
San Jeronimo,-11.9472,-75.2829,46.76,clear sky,77,5,2.55,PE,1626404519
Awbari,26.5921,12.7805,83.12,overcast clouds,23,94,7.67,LY,1626404520
Sicamous,50.8331,-118.9856,86.11,scattered clouds,45,29,1.61,CA,1626404522
Cuauhtemoc,28.4167,-106.8667,67.71,scattered clouds,44,25,11.88,MX,1626404523
Arlit,18.7369,7.3853,92.55,overcast clouds,11,100,15.39,NE,1626404524
Puerto Ayora,-0.7393,-90.3518,70.56,broken clouds,95,83,1.01,EC,1626404526
Thompson,55.7435,-97.8558,76.24,clear sky,43,8,9.69,CA,1626404527
Jaumave,23.4167,-99.3833,73.96,overcast clouds,93,94,3.96,MX,1626404528
Urumqi,43.801,87.6005,81.55,clear sky,30,0,4.47,CN,1626404530
Carnarvon,-24.8667,113.6333,63.84,overcast clouds,55,87,17.22,AU,1626404531
Marzuq,14.4,46.4667,81.1,overcast clouds,46,100,16.17,YE,1626404532
Victoria,22.2855,114.1577,88.97,few clouds,79,17,1.99,HK,1626404259
Porto Murtinho,-21.6989,-57.8825,63.37,overcast clouds,88,100,6.69,BR,1626404535
Baykit,61.67,96.37,70.59,overcast clouds,78,99,4.34,RU,1626404536
Agadir,30.4202,-9.5982,68.45,clear sky,70,0,3.11,MA,1626404537
Bengkulu,-3.8004,102.2655,82.51,broken clouds,63,83,3.69,ID,1626404539
